purchase_id,purchase_date,product_name,quantity,purchase_price,expiration_date
1717,2023-03-22,rund,38,3.35,2023-03-28
1718,2023-03-22,vis,157,2.34,2023-03-28
1720,2023-03-22,chips,299,1.91,2024-03-21
1721,2023-03-22,brood,9,0.80,2023-03-23
1722,2023-03-22,cola,154,0.98,2023-11-17
1723,2023-03-23,bananen,861,0.47,2023-03-27
1724,2023-03-23,appels,1654,0.65,2023-03-30
1725,2023-03-23,peren,996,0.96,2023-03-28
1726,2023-03-23,kip,896,1.30,2023-03-30
1727,2023-03-23,rund,804,3.34,2023-03-29
1728,2023-03-23,vis,600,2.97,2023-03-29
1729,2023-03-23,bier,927,2.67,2024-02-06
1730,2023-03-23,chips,500,0.34,2024-03-22
1731,2023-03-23,brood,1,0.51,2023-03-24
1732,2023-03-23,cola,810,1.21,2023-11-18
